# m,esprit,music_05,music_10,music_20,music_50
4.000000000000000000e+00,8.916854858398437500e-04,6.658984804153440962e+00,1.860822057723998890e+00,4.694174766540527566e-01,7.294182777404785434e-02
1.600000000000000000e+01,6.012916564941406250e-04,5.754148244857788086e+00,1.507054281234741167e+00,3.613896369934082031e-01,6.896276473999024548e-02
3.600000000000000000e+01,4.007339477539062392e-04,6.492319869995117010e+00,1.701482343673706099e+00,4.007215976715087780e-01,6.614832878112793246e-02
6.400000000000000000e+01,7.040500640869140625e-04,8.810756874084471946e+00,2.026751661300659091e+00,5.668244361877441406e-01,8.315415382385253629e-02
1.000000000000000000e+02,3.998279571533203125e-04,1.061842875480651927e+01,2.668942737579345525e+00,6.556777477264403853e-01,1.172583580017089872e-01
1.440000000000000000e+02,5.997180938720703342e-04,2.005619463920593404e+01,4.890402507781982600e+00,1.182857799530029341e+00,1.985201835632323941e-01
1.960000000000000000e+02,8.521080017089844834e-04,2.879801301956176829e+01,6.936761808395385032e+00,1.697579240798950284e+00,3.240768909454345703e-01
2.560000000000000000e+02,6.002902984619141059e-04,9.610669150352478596e+01,2.351615257263183523e+01,5.926769447326659446e+00,9.271822929382323997e-01
3.240000000000000000e+02,3.997802734374999892e-04,1.376651043891907022e+02,3.542690029144286967e+01,9.010280132293701172e+00,1.422982835769653231e+00
4.000000000000000000e+02,6.003856658935546441e-04,2.040697793960571289e+02,5.134357481002807333e+01,1.307177352905273438e+01,2.110382795333862305e+00
4.840000000000000000e+02,7.993698120117187934e-04,3.225278634548187142e+02,7.926305613517760662e+01,1.968482580184936381e+01,3.705820560455322266e+00
